"id","user_id","retailer","payment_method","date"
"27174691","190823","Mercadona","TAR","2021-12-30 20:03:00"
"27157585","338891","Mercadona","TAR","2021-12-30 18:38:00"
"27284536","582472","Mercadona","EFE","2021-12-30 17:26:00"
"27222883","417965","Mercadona","TAR","2021-12-30 15:49:00"
"27126925","232124","Mercadona","TAR","2021-12-30 15:20:00"
"27266368","3799777","Mercadona","EFE","2021-12-30 15:20:00"
"27125320","3810901","Mercadona","TAR","2021-12-30 14:39:00"
"27285931","3720733","Mercadona","TAR","2021-12-30 13:56:00"
"27080731","2621290","Mercadona","TAR","2021-12-30 13:53:00"
"27076576","2731590","Mercadona","TAR","2021-12-30 12:47:00"
"27160360","3685046","Mercadona","TAR","2021-12-30 12:42:00"
"27052570","1256565","Mercadona","TAR","2021-12-30 12:16:00"
"27159388","3685046","Mercadona","EFE","2021-12-30 10:32:00"
"27115171","115683","Mercadona","TAR","2021-12-30 09:29:00"
"27266911","3806322","Mercadona","TAR","2021-12-30 09:26:00"
"27106465","3758653","Mercadona","TAR","2021-12-29 17:18:00"
"27062011","1217828","Mercadona","TAR","2021-12-29 16:13:00"
"27110461","2699685","Mercadona","TAR","2021-12-29 14:51:00"
"27030012","212922","Mercadona","TAR","2021-12-29 13:02:00"
"27019728","1303091","Mercadona","TAR","2021-12-29 11:37:00"
"27017421","908850","Mercadona","EFE","2021-12-29 11:06:00"
"27025218","417965","Mercadona","TAR","2021-12-29 10:59:00"
"27001416","1049920","Mercadona","TAR","2021-12-28 20:39:00"
"27013539","910844","Mercadona","TAR","2021-12-28 20:00:00"
"27010524","3804066","Mercadona","EFE","2021-12-28 18:21:00"
"27008022","1033673","Mercadona","TAR","2021-12-28 17:18:00"
"27007965","1033673","Mercadona","TAR","2021-12-28 17:18:00"
"26983923","1217828","Mercadona","EFE","2021-12-28 16:29:00"
"27052375","1256565","Mercadona","TAR","2021-12-28 14:27:00"
"26977476","1127665","Mercadona","TAR","2021-12-28 14:19:00"
"27229648","3806124","Mercadona","TAR","2021-12-28 12:48:00"
"28894666","3913276","Mercadona","TAR","2021-12-28 00:00:00"
"26947230","3790783","Mercadona","TAR","2021-12-27 19:57:00"
"26951928","3728236","Mercadona","TAR","2021-12-27 19:38:00"
"26965707","508394","Mercadona","TAR","2021-12-27 18:28:00"
"26843860","149716","Mercadona","EFE","2021-12-27 16:53:00"
"26814460","2305393","Mercadona","TAR","2021-12-27 15:12:00"
"26741380","908850","Mercadona","EFE","2021-12-27 10:15:00"
"26684821","935254","Mercadona","TAR","2021-12-24 17:44:00"
"26672548","921029","Mercadona","TAR","2021-12-24 17:04:00"
"26658787","2813775","Mercadona","TAR","2021-12-24 13:53:00"
"26660206","292713","Mercadona","TAR","2021-12-24 13:49:00"
"26657788","935254","Mercadona","TAR","2021-12-24 13:34:00"
"26735932","3426372","Mercadona","TAR","2021-12-24 13:21:00"
"26653411","1033159","Mercadona","EFE","2021-12-24 13:12:00"
"26653225","1776886","Mercadona","TAR","2021-12-24 13:11:00"
"26653153","1776886","Mercadona","TAR","2021-12-24 13:11:00"
"26694169","2627030","Mercadona","EFE","2021-12-24 13:09:00"
"26694013","2627030","Mercadona","EFE","2021-12-24 13:09:00"
"26669191","3761113","Mercadona","TAR","2021-12-24 13:08:00"
"26675092","995893","Mercadona","EFE","2021-12-24 12:56:00"
"26669899","3771676","Mercadona","EFE","2021-12-24 12:44:00"
"26649721","319418","Mercadona","EFE","2021-12-24 12:20:00"
"26650072","1029847","Mercadona","EFE","2021-12-24 12:15:00"
"26646499","186648","Mercadona","TAR","2021-12-24 12:02:00"
"26656597","2700235","Mercadona","TAR","2021-12-24 11:46:00"
"26642089","2704680","Mercadona","TAR","2021-12-24 11:26:00"
"26627851","2396274","Mercadona","TAR","2021-12-23 21:01:00"
"26616964","286036","Mercadona","TAR","2021-12-23 20:49:00"
"26668252","1122521","Mercadona","TAR","2021-12-23 20:18:00"
"26646808","2649850","Mercadona","TAR","2021-12-23 18:00:00"
"26595487","2625170","Mercadona","TAR","2021-12-23 16:27:00"
"26546932","2283924","Mercadona","TAR","2021-12-23 12:29:00"
"26645035","115683","Mercadona","EFE","2021-12-23 11:55:00"
"26710162","1776886","Mercadona","EFE","2021-12-23 10:35:00"
"26495794","3710071","Mercadona","EFE","2021-12-22 19:07:00"
"26485927","3711829","Mercadona","TAR","2021-12-22 15:22:00"
"26467063","921029","Mercadona","TAR","2021-12-22 14:01:00"
"26468092","3387727","Mercadona","TAR","2021-12-22 14:00:00"
"26467993","3387727","Mercadona","TAR","2021-12-22 14:00:00"
"26459974","3729361","Mercadona","EFE","2021-12-22 12:09:00"
"26743519","3266742","Mercadona","TAR","2021-12-22 11:38:00"
"28104745","3910657","Mercadona","TAR","2021-12-22 10:16:00"
"26453602","508394","Mercadona","TAR","2021-12-21 18:09:00"
"26428969","3758653","Mercadona","TAR","2021-12-21 16:37:00"
"26421838","921029","Mercadona","TAR","2021-12-21 14:25:00"
"26494111","3769471","Mercadona","EFE","2021-12-21 13:44:00"
"26384578","3759322","Mercadona","EFE","2021-12-20 20:39:00"
"26361430","1189512","Mercadona","TAR","2021-12-20 20:01:00"
